,id,city,zipCode,list_price,baths
2521,3978840061,Port Jefferson Station,11776,499990,2
2522,4528089672,Westhampton,11977,2699000,4
2523,4560478667,Port Jefferson,11777,975000,5
2524,4622503716,East Islip,11730,400000,2
2525,4355382664,Dix Hills,11746,2475000,4
2526,9942955464,Huntington,11743,1200000,4
2527,4068836272,East Hampton,11937,18995000,8
2528,3533730752,Commack,11725,667000,3
2529,3647622809,Brentwood,11717,639000,2
2530,4124648059,East Hampton,11937,3495000,5
2531,3522803057,East Hampton,11937,2595000,4
2532,9200255023,Water Mill,11976,19950000,12
2533,4154571724,East Hampton,11937,3695000,6
2534,4072798171,Ridge,11961,399000,2
2535,4697368030,Greenport,11944,875000,2
2536,3542840089,Mattituck,11952,1095000,3
2537,4068836272,East Hampton,11937,18995000,8
2538,3651483610,East Hampton,11937,4495000,6
2539,9135534016,Sagaponack,11962,27500000,17
2540,4320632096,East Hampton,11937,3995000,7
2541,3978840061,Port Jefferson Station,11776,499990,2
2542,4528089672,Westhampton,11977,2699000,4
2543,4560478667,Port Jefferson,11777,975000,5
2544,4622503716,East Islip,11730,400000,2
2545,4355382664,Dix Hills,11746,2475000,4
2546,9942955464,Huntington,11743,1200000,4
2547,4068836272,East Hampton,11937,18995000,8
2548,3533730752,Commack,11725,667000,3
2549,3647622809,Brentwood,11717,639000,2
2550,4124648059,East Hampton,11937,3495000,5
2551,3522803057,East Hampton,11937,2595000,4
2552,9200255023,Water Mill,11976,19950000,12
2553,4154571724,East Hampton,11937,3695000,6
2554,4072798171,Ridge,11961,399000,2
2555,4697368030,Greenport,11944,875000,2
2556,3542840089,Mattituck,11952,1095000,3
2557,4068836272,East Hampton,11937,18995000,8
2558,3651483610,East Hampton,11937,4495000,6
2559,9135534016,Sagaponack,11962,27500000,17
2560,4320632096,East Hampton,11937,3995000,7
2561,3978840061,Port Jefferson Station,11776,499990,2
2562,4528089672,Westhampton,11977,2699000,4
2563,4560478667,Port Jefferson,11777,975000,5
2564,4622503716,East Islip,11730,400000,2
2565,4355382664,Dix Hills,11746,2475000,4
2566,9942955464,Huntington,11743,1200000,4
2567,4068836272,East Hampton,11937,18995000,8
2568,3533730752,Commack,11725,667000,3
2569,3647622809,Brentwood,11717,639000,2
2570,4124648059,East Hampton,11937,3495000,5
2571,3522803057,East Hampton,11937,2595000,4
2572,9200255023,Water Mill,11976,19950000,12
2573,4154571724,East Hampton,11937,3695000,6
2574,4072798171,Ridge,11961,399000,2
2575,4697368030,Greenport,11944,875000,2
2576,3542840089,Mattituck,11952,1095000,3
2577,4068836272,East Hampton,11937,18995000,8
2578,3651483610,East Hampton,11937,4495000,6
2579,9135534016,Sagaponack,11962,27500000,17
2580,4320632096,East Hampton,11937,3995000,7
