,id,price,beds,baths,sqft,address,postal_code,state,city
334,3674682652,259000,0,1,,51 Lincoln Ave Apt C21,11570,NY,Rockville Centre
335,4323902633,1580000,4,3,3016.0,48A Nassau Dr,11021,NY,Great Neck
336,4060395644,829000,6,3,,94 W Choir Ln,11590,NY,Westbury
337,3942169181,1288000,3,3,2100.0,118 Overlook Ter,11577,NY,East Hills
338,4902996396,1698888,5,3,,30 Virginia St,11580,NY,Valley Stream
339,3423431633,798000,5,3,,8 1st St,11563,NY,Lynbrook
340,4273064857,879000,3,2,,42 Wakefield Ave,11050,NY,Port Washington
341,3499438412,685000,4,3,,31 James St,11040,NY,New Hyde Park
342,4927661252,1099999,5,3,2900.0,1270 Lakeshore Dr,11762,NY,Massapequa Park
343,9673513342,470000,3,3,,280 Franklin Ave Apt 13,11010,NY,Franklin Square
344,3948887720,795000,3,3,2505.0,200 Montauk St,11580,NY,Valley Stream
345,3931673484,1299000,3,3,1837.0,61 Orchard Farm Rd,11050,NY,Port Washington
346,4946629617,699000,2,2,2061.0,717 W Park Ave,11561,NY,Long Beach
347,3893813732,379990,1,1,900.0,703 Wantagh Ave Unit 703,11793,NY,Wantagh
348,4848052456,749900,3,2,,22 Edgewood Rd,11050,NY,Port Washington
349,3237204272,1395000,0,0,4636.0,540 Muttontown Rd,11791,NY,Muttontown
350,3385552988,1999999,4,4,3699.0,72 Lee Ave,11570,NY,Rockville Centre
351,3136144630,749999,4,3,2309.0,703 Jackie Ln,11510,NY,Baldwin
352,3056340577,2275000,3,3,2700.0,67 Matlock St,11561,NY,Lido Beach
353,4960223798,1750000,6,5,8000.0,215 Roosevelt St E,11561,NY,Long Beach
354,3674682652,259000,0,1,,51 Lincoln Ave Apt C21,11570,NY,Rockville Centre
355,4323902633,1580000,4,3,3016.0,48A Nassau Dr,11021,NY,Great Neck
356,4060395644,829000,6,3,,94 W Choir Ln,11590,NY,Westbury
357,3942169181,1288000,3,3,2100.0,118 Overlook Ter,11577,NY,East Hills
358,4902996396,1698888,5,3,,30 Virginia St,11580,NY,Valley Stream
359,3423431633,798000,5,3,,8 1st St,11563,NY,Lynbrook
360,4273064857,879000,3,2,,42 Wakefield Ave,11050,NY,Port Washington
361,3499438412,685000,4,3,,31 James St,11040,NY,New Hyde Park
362,4927661252,1099999,5,3,2900.0,1270 Lakeshore Dr,11762,NY,Massapequa Park
363,9673513342,470000,3,3,,280 Franklin Ave Apt 13,11010,NY,Franklin Square
